source,target,relation
ropeway:南线索道（南四楼地面缆车）,map:user,context_to_ropeway
doc:problem,facility:北八楼・好汉坡制高点,context_to_facility
facility:北八楼・好汉坡制高点,doc:problem,context_to_facility
doc:problem,facility:北索道入口平台,context_to_facility
facility:北索道入口平台,doc:problem,context_to_facility
doc:problem,facility:北四楼・好汉石打卡点,context_to_facility
facility:北四楼・好汉石打卡点,doc:problem,context_to_facility
doc:problem,facility:北门锁钥关城城楼,context_to_facility
facility:北门锁钥关城城楼,doc:problem,context_to_facility
doc:problem,facility:北八至北九 S 弯长城,context_to_facility
facility:北八至北九 S 弯长城,doc:problem,context_to_facility
doc:problem,facility:南索道入口平台,context_to_facility
facility:南索道入口平台,doc:problem,context_to_facility
doc:problem,facility:南四楼南线全景机位,context_to_facility
facility:南四楼南线全景机位,doc:problem,context_to_facility
doc:problem,facility:岔道城古炮展区,context_to_facility
facility:岔道城古炮展区,doc:problem,context_to_facility
doc:problem,ropeway:北线索道（北八楼空中索道）,context_to_ropeway
ropeway:北线索道（北八楼空中索道）,doc:problem,context_to_ropeway
doc:problem,ropeway:南线索道（南四楼地面缆车）,context_to_ropeway
ropeway:南线索道（南四楼地面缆车）,doc:problem,context_to_ropeway
ropeway:北线索道（北八楼空中索道）,facility:北门锁钥关城城楼,ropeway_to_platform
facility:北门锁钥关城城楼,ropeway:北线索道（北八楼空中索道）,ropeway_to_platform
ropeway:北线索道（北八楼空中索道）,facility:北四楼・好汉石打卡点,ropeway_to_platform
facility:北四楼・好汉石打卡点,ropeway:北线索道（北八楼空中索道）,ropeway_to_platform
ropeway:北线索道（北八楼空中索道）,facility:北索道入口平台,ropeway_to_platform
facility:北索道入口平台,ropeway:北线索道（北八楼空中索道）,ropeway_to_platform
ropeway:北线索道（北八楼空中索道）,facility:北八楼・好汉坡制高点,ropeway_to_platform
facility:北八楼・好汉坡制高点,ropeway:北线索道（北八楼空中索道）,ropeway_to_platform
ropeway:北线索道（北八楼空中索道）,facility:北八至北九 S 弯长城,ropeway_to_platform
facility:北八至北九 S 弯长城,ropeway:北线索道（北八楼空中索道）,ropeway_to_platform
global:rail,ropeway:北线索道（北八楼空中索道）,rail_to_ropeway
ropeway:北线索道（北八楼空中索道）,global:rail,rail_to_ropeway
global:ticket,ropeway:北线索道（北八楼空中索道）,ticket_to_ropeway
ropeway:北线索道（北八楼空中索道）,global:ticket,ticket_to_ropeway
ropeway:南线索道（南四楼地面缆车）,facility:岔道城古炮展区,ropeway_to_platform
facility:岔道城古炮展区,ropeway:南线索道（南四楼地面缆车）,ropeway_to_platform
ropeway:南线索道（南四楼地面缆车）,facility:南索道入口平台,ropeway_to_platform
facility:南索道入口平台,ropeway:南线索道（南四楼地面缆车）,ropeway_to_platform
ropeway:南线索道（南四楼地面缆车）,facility:南四楼南线全景机位,ropeway_to_platform
facility:南四楼南线全景机位,ropeway:南线索道（南四楼地面缆车）,ropeway_to_platform
global:rail,ropeway:南线索道（南四楼地面缆车）,rail_to_ropeway
ropeway:南线索道（南四楼地面缆车）,global:rail,rail_to_ropeway
global:ticket,ropeway:南线索道（南四楼地面缆车）,ticket_to_ropeway
ropeway:南线索道（南四楼地面缆车）,global:ticket,ticket_to_ropeway
